CLIENTE,,,,,
Cod,Prioridade,Endereco,Estado,Email,Fone
122211,Baixa,"P.O. Box 132, 5336 Tincidunt Street",PE,nonummy.ipsum.non@Morbiaccumsan.com,81324556612
921567,Media,Ap #506-9024 Semper St.,MS,tempus@purusmauris.net,81324556613
444272,Baixa,"P.O. Box 683, 1827 Magna. Street",SP,egestas.Duis.ac@nonvestibulumnec.ca,81324556614
419036,Baixa,545-5308 Aliquam Rd.,BH,molestie.tellus.Aenean@etmagnisdis.com,81324556615
494738,Media,"P.O. Box 852, 3735 Libero Avenue",TK,Aenean.euismod@estconguea.com,81324556616
468928,Baixa,"Ap #108-1456 Nec, Street",RU,sem.Nulla@facilisislorem.co.uk,81324556617
374702,Baixa,767-7067 Et Street,AL,pretium@sitametconsectetuer.net,81324556618
421804,Media,"P.O. Box 228, 5687 Fermentum Street",CA,dictum@ettristiquepellentesque.co.uk,81324556619
754431,Alta,"9327 Sed, Road",AM,lobortis@interdumenim.ca,81324556620
546312,Media,"1128 Eget, Rd.",PA,Mauris.ut@nonjustoProin.com,81324556621
690810,Baixa,Ap #428-6491 Curabitur Rd.,MG,at.pede.Cras@metus.co.uk,81324556622
219478,Baixa,8048 Dui. Rd.,BL,Nunc.lectus@sed.edu,81324556623
143693,Media,9271 Donec Street,PC,sagittis.Duis@eleifendvitaeerat.net,81324556624
448803,Baixa,"P.O. Box 774, 5509 Felis. Street",CH,scelerisque.sed.sapien@arcu.com,81324556625
236843,Media,Ap #813-6435 Pellentesque Rd.,UR,Morbi.vehicula.Pellentesque@miDuisrisus.co.uk,81324556626
333493,Baixa,419-1184 Justo. Rd.,PE,penatibus.et.magnis@vestibulum.edu,81324556627
654214,Baixa,"P.O. Box 489, 5083 Mollis Rd.",MS,Phasellus.at@Aliquamornare.co.uk,81324556628
780419,Media,"7163 Orci, St.",SP,tristique.neque.venenatis@euaugueporttitor.edu,81324556629
301898,Baixa,"Ap #264-2826 Montes, Av.",BH,at.velit.Pellentesque@Aeneansedpede.com,81324556630
293827,Baixa,"P.O. Box 714, 4676 Magna. Avenue",TK,Duis@ultriciesdignissim.net,81324556631
565384,Media,"2471 Vitae, Avenue",RU,eu.odio@mattissemperdui.com,81324556632
937976,Media,Ap #272-7973 Blandit Av.,AL,non@et.ca,81324556633
